"module","path","entry","name","status","reason","evidence","listing_chunk"
"libSkiaSharp.dll","libSkiaSharp.dll","180200870","FUN_180200870","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0004.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1803e6290","FUN_1803e6290","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0008.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1804322c0","FUN_1804322c0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0008.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1804439e0","FUN_1804439e0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0009.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180459230","FUN_180459230","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0009.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180623060","FUN_180623060","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1806239d0","FUN_1806239d0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180624340","FUN_180624340","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180624ca0","FUN_180624ca0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180625610","FUN_180625610","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180625f80","FUN_180625f80","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180626920","FUN_180626920","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180627820","FUN_180627820","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","180628180","FUN_180628180","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0012.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807fcb20","FUN_1807fcb20","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807fcf30","FUN_1807fcf30","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807fd700","FUN_1807fd700","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807fdbb0","FUN_1807fdbb0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807fe380","FUN_1807fe380","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807fe6e0","FUN_1807fe6e0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
"libSkiaSharp.dll","libSkiaSharp.dll","1807ff0a0","FUN_1807ff0a0","ASSEMBLY_FALLBACK","Ghidra pseudocode failed after decompile, normalize and register modes","Third-party Skia native runtime; not ChannelMaster.dll, wdsp.dll, a DXBC shader, or the managed GPU-waterfall control path","libSkiaSharp.dll.decompiled.part-0015.c"
